obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.9, 975505, 59103, 3681, 2714, 8951, 3779, 1579, 592, NA, NA, NA, 1055904,  0*
2, 5.9, 79763, 81981, 14543, 7462, 12672, 6040, 2130, 900, NA, NA, NA, 205491,  0*
3, 7.0, 6461, 9837, 749, 890, 1593, 1629, 1248, 357, NA, NA, NA, 22764,  0*
4, 7.9, 500712, 14397, 3158, 5046, 17431, 8687, 4154, 2265, 51, 54, NA, 555850,  0*
5, 8.9, 573386, 22215, 12677, 3559, 1624, 2883, 2502, 957, 47, 78, NA, 619803,  0*
6, 9.9, 487783, 9970, 10567, 4912, 3654, 2415, 1066, 526, 44, 100, NA, 520893,  0*
7, 11.0, 1024788, 47641, 56707, 23590, 37785, 17510, 3264, 3871, 44, 100, NA, 1215156,  0*
8, 12.0, 107037, 20167, 7374, 1505, 3829, 3823, 3506, 477, 34, 100, NA, 147718,  0*
9, 12.9, 2008004, 494310, 90997, 5377, 18845, 20376, 4566, 7606, 23, 88, NA, 2650081,  0*
10, 13.9, 214620, 20352, 823, 15719, 8165, 1171, 2938, 1448, 11, 81, NA, 265236,  0*
11, 14.9, 4349, 1807, 4774, 366, 825, 1637, 1027, 500, 17, 83, NA, 15285,  0*
12, 15.9, 47921, 24826, 10785, 17097, 9425, 2648, 863, 955, 8, 93, NA, 114520,  0*
13, 16.9, 2568099, 382171, 63983, 112952, 104865, 15877, 5741, 3869, 7, 100, NA, 3257557,  0*
14, 18.0, 105002, 138724, 20511, 6805, 12345, 2547, 1557, 635, 3, 83, NA, 288126,  0*
15, 18.9, 1437969, 356886, 88593, 65306, 51700, 46393, 22163, 6266, 1, 66, NA, 2075276,  0*
16, 19.9, 65565, 4805, 2166, 1946, 2393, 2205, 1856, 440, 14, 60, NA, 81376,  0*
17, 21.0, 81798, 32812, 16664, 3261, 2708, 1592, 1322, 560, 20, 66, NA, 140717,  0*
18, 22.0, 8874, 14852, 6016, 2682, 871, 2523, 495, 925, 40, 81, NA, 37238,  0*
19, 22.9, 195660, 39440, 16833, 3843, 18844, 2041, 1496, 588, 29, 81, NA, 278745,  0*
20, 23.9, 77547, 12564, 1550, 5388, 2035, 2487, 589, 1206, 23, 78, NA, 103366,  0*
21, 25.0, 2484, 8175, 1019, 1040, 2683, 689, 1021, 708, 30, 64, NA, 17819,  0*
22, 25.9, 9397, 2648, 3499, 469, 873, 1078, 973, 816, 37, 75, NA, 19753,  0*
23, 26.9, 196890, 123762, 1153, 10266, 16287, 4565, 1443, 661, 35, 53, NA, 355027,  0*
24, 27.9, 373472, 34544, 8833, 40531, 21609, 12942, 9431, 3319, 37, 61, NA, 504681,  0*
25, 29.0, 100512, 33419, 9425, 12882, 6217, 10402, 4441, 1702, 48, 74, NA, 179000,  0*
26, 29.9, 952326, 69004, 31515, 48102, 33999, 12840, 4235, 2115, 40, 67, NA, 1154136,  0*
27, 30.9, 12015, 7157, 1174, 1064, 2562, 2435, 441, 1170, 60, 80, NA, 28018,  0*
28, 31.9, 463227, 123139, 27505, 40834, 25991, 19027, 7068, 7492, 56, 74, NA, 714283,  0*
29, 32.9, 304665, 91572, 630, 2273, 7793, 6828, 6775, 3067, 47, 44, NA, 423603,  0*
30, 33.9, 4203, 6419, 1772, 3103, 266, 1549, 1336, 1031, 53, 44, NA, 19679,  0*
31, 35.0, 136280, 23585, 9786, 3396, 3223, 1431, 354, 170, 35, 57, NA, 178225,  0*
32, 36.0, 24386, 15893, 5342, 8535, 3736, 1746, 942, 646, 27, 66, NA, 61226,  0*
33, 36.9, 25481, 23295, 13718, 6176, 5583, 3698, 1692, 364, 29, 100, NA, 80007,  0*
34, 37.9, 172152, 73525, 12156, 8102, 21779, 4748, 1935, 662, 21, 90, NA, 295059,  0*
35, 38.9, 119642, 35842, 1230, 2190, 2699, 2341, 3144, 845, 24, 69, NA, 167933,  0*
36, 39.9, 56991, 10973, 6764, 6135, 5411, 1830, 2828, 984, 27, 70, NA, 91916,  0*
37, 40.9, 14269, 8691, 2063, 2987, 3133, 2286, 1324, 769, 35, 64, NA, 35522,  0*
38, 41.9, 110430, 54814, 11949, 9455, 8275, 4497, 1716, 596, 35, 69, NA, 201732,  0*
39, 43.0, 114002, 6199, 3439, 9862, 1310, 1524, 1765, 918, 37, 100, NA, 139019,  0*
40, 43.9, 114268, 29262, 7527, 7575, 4810, 2611, 3318, 564, 35, 91, NA, 169935,  0*
41, 44.9, 19990, 4588, 12047, 4670, 3237, 1326, 1160, 687, 24, 100, NA, 47705,  0*
42, 45.9, 150355, 25795, 7543, 9414, 8043, 3564, 2467, 1027, 27, 100, NA, 208208,  0*
43, 47.0, 3166, 2664, 2557, 1871, 534, 1496, 1355, 685, 38, 97, NA, 14328,  0*
44, 47.9, 3638, 10138, 1078, 6023, 1918, 6278, 1040, 1295, 56, 94, NA, 31408,  0*
45, 48.9, 111999, 13199, 2371, 1635, 776, 2764, 1988, 728, 64, 75, NA, 135460,  0*
46, 50.0, 6401, 18367, 12588, 4050, 3038, 1076, 1161, 1866, 54, 81, NA, 48547,  0*
47, 50.9, 345338, 35208, 13073, 32958, 32326, 13797, 5557, 3036, 53, 77, NA, 481293,  0*
48, 51.9, 60815, 35791, 14065, 6877, 10196, 2769, 1146, 1679, 34, 78, NA, 133338,  0*
49, 52.9, 69451, 96891, 6972, 19986, 14369, 4505, 1569, 1803, 17, 78, NA, 215546,  0*
50, 54.0, 151512, 59922, 20807, 18469, 17196, 6925, 1401, 492, 26, 70, NA, 276724,  0*
51, 54.9, 74020, 53282, 8139, 5437, 20176, 3144, 1924, 1221, 13, 60, NA, 167343,  0*
52, 55.9, 585078, 50213, 40328, 17581, 64173, 41200, 11048, 3875, 34, 57, NA, 813496,  0*
53, 57.9, 2639327, 326147, 10499, 56995, 21007, 14552, 12600, 4810, 35, 56, NA, 3085937,  0*
54, 58.9, 1000958, 90376, 22117, 21292, 27278, 27272, 2683, 1281, 44, 51, NA, 1193257,  0*
55, 59.9, 944225, 30771, 4682, 5763, 5253, 9428, 11301, 3317, 61, 54, NA, 1014740,  0*
56, 61.0, 534005, 74140, 50888, 23520, 18763, 22737, 7026, 3770, 51, 60, NA, 734849,  0*
57, 61.9, 794792, 48540, 66800, 25027, 15459, 10024, 5301, 2535, 57, 78, NA, 968478,  0*
58, 62.9, 2100849, 240428, 346713, 136618, 67367, 24505, 13809, 16066, 40, 93, NA, 2946355,  0*
59, 63.9, 898097, 82320, 72574, 32340, 54059, 47141, 8605, 2347, 40, 100, NA, 1197483,  0*
60, 65.9, 1061669, 12352, 18947, 11716, 3671, 2255, 963, 538, 29, 100, NA, 1112111,  0*
61, 66.9, 1215775, 30856, 10292, 6884, 9249, 6410, 5289, 848, 37, 100, NA, 1285603,  0*
62, 68.0, 2516696, 138691, 26200, 13395, 11204, 6646, 2237, 611, 38, 83, NA, 2715680,  0*
63, 69.9, 1333346, 105341, 9465, 52163, 30859, 19662, 1665, 1422, 30, 80, NA, 1553923,  0*
64, 70.9, 299263, 12456, 6353, 13198, 19079, 1788, 1012, 417, 30, 69, NA, 353566,  0*
65, 72.0, 560918, 89656, 10802, 30155, 6666, 4670, 2125, 780, 17, 69, NA, 705772,  0*
66, 72.9, 981482, 144252, 10301, 15700, 15615, 7397, 8856, 5130, 20, 63, NA, 1188733,  0*
67, 73.9, 191562, 90332, 28424, 18560, 12527, 7893, 2856, 5760, 13, 63, NA, 357914,  0*
68, 74.9, 66816, 25346, 4299, 6332, 3221, 2329, 1598, 892, 14, 57, NA, 110833,  0*
69, 76.0, 44303, 7539, 543, 1608, 1744, 1886, 1764, 772, 30, 53, NA, 60159,  0*
70, 76.9, 102871, 46969, 15580, 1732, 2096, 4644, 952, 358, 37, 60, NA, 175202,  0*
71, 77.9, 138919, 62518, 17477, 21973, 15014, 8666, 12526, 2090, 41, 61, NA, 279183,  0*
72, 79.0, 21367, 4568, 4769, 4077, 1066, 921, 353, 639, 41, 77, NA, 37760,  0*
73, 79.9, 141580, 14109, 9836, 9028, 10379, 5913, 1697, 617, 40, 88, NA, 193159,  0*
74, 80.9, 330021, 54672, 8110, 19098, 16969, 4101, 2701, 446, 37, 88, NA, 436118,  0*
75, 81.9, 25453, 16073, 1515, 3577, 1482, 3452, 1159, 1885, 43, 81, NA, 54596,  0*
76, 82.9, 37456, 6585, 1224, 910, 1892, 2861, 977, 1036, 60, 61, NA, 52941,  0*
77, 83.9, 35081, 20915, 1879, 9604, 6148, 1653, 916, 743, 47, 56, NA, 76939,  0*
78, 87.9, 16772, 18518, 1031, 7363, 2588, 1733, 918, 339, 48, 56, NA, 49262,  0*
79, 90.9, 2399670, 99725, 91468, 121799, 87952, 29717, 5017, 875, 43, 70, NA, 2836223,  0*
80, 91.9, 555771, 157750, 4907, 19890, 21085, 21847, 4342, 2444, 30, 67, NA, 788036,  0*
81, 93.0, 743934, 427701, 70908, 49112, 100747, 74306, 26596, 9707, 43, 60, NA, 1503011,  0*
82, 95.9, 887274, 95427, 8682, 10984, 14443, 9560, 889, 842, 44, 51, NA, 1028101,  0*
83, 98.9, 775462, 74927, 11678, 29091, 47631, 19450, 12355, 3452, 50, 38, NA, 974046,  0*
84, 99.9, 1401250, 61196, 12059, 12093, 10737, 8554, 1525, 727, 50, 48, NA, 1508141,  0*
85, 100.9, 778985, 93285, 20017, 29088, 19418, 9489, 5419, 1332, 41, 54, NA, 957033,  0*
86, 104.0, 1035409, 29680, 11339, 13477, 29717, 19742, 2964, 1005, 56, 61, NA, 1143333,  0*
87, 104.9, 1712356, 141323, 41154, 75346, 36668, 48860, 17649, 4026, 57, 67, NA, 2077382,  0*
88, 106.0, 867927, 87460, 65825, 9156, 34401, 16912, 24301, 2474, 60, 75, NA, 1108456,  0*
89, 106.9, 661937, 119543, 22771, 23242, 25732, 12348, 9432, 5297, 60, 70, NA, 880302,  0*
90, 107.9, 1140696, 237499, 22273, 72750, 43701, 34572, 13410, 10339, 48, 70, NA, 1575240,  0*
91, 108.9, 225672, 44485, 11629, 7629, 11285, 10672, 1256, 559, 47, 64, NA, 313187,  0*
92, 109.9, 163119, 98800, 3918, 2538, 8571, 12821, 7856, 3802, 48, 41, NA, 301425,  0*
93, 111.0, 59581, 9248, 1008, 1207, 3238, 2859, 796, 439, 60, 34, NA, 78376,  0*
94, 111.9, 770601, 241041, 11485, 28636, 2350, 6077, 7592, 1244, 43, 26, NA, 1069026,  0*
95, 112.9, 337592, 64044, 1781, 6474, 2941, 3427, 1803, 904, 30, 17, NA, 418966,  0*
96, 113.9, 388223, 63964, 147520, 125969, 121151, 140614, 34532, 1497, 43, 48, NA, 1023470,  0*
97, 115.0, 42701, 11478, 3048, 6834, 9065, 4438, 4496, 566, 41, 56, NA, 82626,  0*
98, 115.9, 14099, 5579, 3222, 2731, 1908, 1949, 700, 792, 63, 70, NA, 30980,  0*
99, 116.9, 2055071, 640486, 244530, 10063, 26143, 20421, 29528, 7155, 54, 81, NA, 3033397,  0*
100, 117.9, 357191, 402617, 32525, 51162, 7603, 13098, 8473, 5099, 27, 66, NA, 877768,  0*
101, 118.9, 220365, 49542, 61680, 8012, 17576, 11890, 9732, 1777, 20, 77, NA, 380574,  0*
102, 119.9, 134884, 227743, 111147, 47266, 38605, 9442, 4824, 2774, 1, 75, NA, 576685,  0*
103, 120.9, 135169, 26137, 6506, 9500, 12262, 2443, 2564, 617, 10, 77, NA, 195198,  0*
104, 122.0, 907246, 920181, 11357, 115240, 18664, 59969, 5439, 5837, 17, 70, NA, 2043933,  0*
105, 122.9, 2419553, 256399, 51648, 31580, 11165, 9505, 7085, 1606, 7, 60, NA, 2788541,  0*
106, 123.9, 798501, 281818, 27421, 19251, 24686, 15980, 7284, 1830, 11, 47, NA, 1176771,  0*
107, 124.9, 140056, 18016, 4351, 2451, 3536, 4459, 2133, 755, 23, 43, NA, 175757,  0*
108, 125.9, 1854294, 170859, 351063, 205509, 255253, 187767, 43226, 10530, 38, 63, NA, 3078501,  0*
109, 126.9, 156458, 104551, 5315, 14575, 27400, 38254, 10780, 4154, 61, 53, NA, 361487,  0*
110, 127.9, 319179, 24521, 2782, 3785, 1972, 2121, 664, 754, 64, 57, NA, 355778,  0*
111, 129.0, 223722, 41304, 24462, 19470, 37442, 9137, 5115, 7129, 60, 63, NA, 367781,  0*
112, 129.9, 28415, 23982, 4887, 883, 2041, 2296, 787, 1084, 47, 48, NA, 64375,  0*
113, 130.9, 569954, 99937, 51867, 40275, 72966, 21655, 4473, 4715, 38, 63, NA, 865842,  0*
114, 131.9, 556255, 316228, 51324, 50925, 47702, 30700, 12069, 4772, 38, 63, NA, 1069975,  0*
115, 133.0, 250121, 40276, 10578, 10151, 3965, 3299, 2972, 1179, 30, 63, NA, 322541,  0*
116, 133.9, 221725, 47658, 17125, 16035, 16470, 9553, 1306, 864, 38, 70, NA, 330736,  0*
117, 134.9, 96707, 24351, 4511, 3074, 2281, 3421, 3484, 1124, 37, 64, NA, 138953,  0*
118, 136.0, 43576, 90044, 23050, 33071, 12019, 3013, 2392, 505, 23, 74, NA, 207670,  0*
119, 136.9, 889998, 105854, 70194, 51586, 18212, 10807, 6248, 3401, 23, 78, NA, 1156300,  0*
120, 137.9, 12626, 5411, 1501, 6542, 1275, 1650, 1828, 730, 21, 84, NA, 31563,  0*
121, 138.9, 63265, 22417, 4718, 6550, 1981, 2356, 2303, 998, 17, 90, NA, 104588,  0*
122, 140.0, 812555, 266931, 48181, 20556, 14121, 31401, 2022, 596, 34, 81, NA, 1196363,  0*
123, 140.9, 901459, 61127, 9441, 15693, 13567, 12543, 5644, 5054, 44, 70, NA, 1024528,  0*
124, 141.9, 2412992, 95638, 33700, 8193, 17117, 30117, 5440, 7734, 50, 60, NA, 2610931,  0*
125, 142.9, 501291, 177175, 45916, 16886, 22626, 18837, 9502, 5439, 51, 56, NA, 797672,  0*
126, 143.9, 199193, 69741, 37280, 16221, 3883, 5803, 2728, 679, 44, 67, NA, 335528,  0*
