obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.9, 3395286, 92979, 55104, 13289, 34861, 18975, 7529, 7946, NA, NA, NA, 3625969,  5*
2, 7.0, 860123, 88762, 20750, 4586, 2744, 3880, 2172, 837, NA, NA, NA, 983854,  5*
3, 7.9, 1456864, 274756, 43247, 23165, 24468, 27664, 5427, 4008, NA, NA, NA, 1859599,  5*
4, 8.9, 81375, 6631, 1752, 1073, 735, 143, 93, 26, 30, 47, NA, 91828,  5*
5, 9.9, 1376562, 121584, 78160, 50201, 30748, 22634, 13709, 3045, 41, 69, NA, 1696643,  5*
6, 10.9, 994874, 79488, 37779, 9254, 6550, 5621, 5035, 1128, 43, 81, NA, 1139729,  5*
7, 11.9, 186457, 272481, 20044, 19758, 33348, 29149, 28952, 16303, 54, 63, NA, 606492,  5*
8, 12.9, 115052, 41454, 23930, 11137, 13395, 14822, 2582, 1144, 80, 69, NA, 223516,  5*
9, 14.0, 750993, 80515, 36968, 12370, 22343, 4092, 7595, 1933, 69, 57, NA, 916809,  5*
10, 14.9, 379875, 22947, 10630, 10161, 5603, 5080, 2610, 1469, 80, 63, NA, 438375,  5*
11, 15.9, 61698, 28595, 15258, 8243, 2714, 1675, 2058, 850, 69, 100, NA, 121091,  5*
12, 16.9, 49945, 20104, 2668, 2913, 2143, 1641, 2013, 653, 57, 84, NA, 82080,  5*
13, 18.0, 13455, 29462, 1759, 652, 3634, 2696, 1168, 550, 67, 54, NA, 53376,  5*
14, 19.0, 194179, 43331, 19478, 21975, 42134, 16453, 7561, 2835, 75, 50, NA, 347946,  5*
15, 19.9, 39175, 15736, 5102, 3643, 3167, 1895, 994, 262, 83, 43, NA, 69974,  5*
16, 20.9, 130398, 29900, 13101, 5310, 7356, 1726, 990, 1606, 78, 61, NA, 190387,  5*
17, 22.0, 19534, 82850, 7291, 9460, 10854, 13557, 9630, 2194, 83, 75, NA, 155370,  5*
18, 22.9, 37797, 38768, 40897, 12378, 8357, 10404, 3277, 1740, 77, 87, NA, 153618,  5*
19, 23.9, 16615, 12846, 7180, 2973, 3871, 923, 669, 1056, 69, 88, NA, 46133,  5*
20, 25.0, 17243, 11455, 2757, 5296, 1792, 1841, 1445, 485, 80, 88, NA, 42314,  5*
21, 25.9, 12456, 17445, 5693, 5167, 2375, 1159, 988, 831, 67, 100, NA, 46114,  5*
22, 26.9, 8741, 3084, 3729, 278, 2720, 1808, 1847, 986, 77, 97, NA, 23193,  5*
23, 28.0, 5772, 3586, 860, 2225, 2095, 2188, 820, 670, 97, 91, NA, 18216,  5*
24, 28.9, 8323, 8074, 3526, 2490, 2091, 1553, 1261, 936, 100, 90, NA, 28254,  5*
