time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,FPOGD,RPD,LPD
3.9,USER_13,NewMedia15,-0.9810013748751064,-0.8897942356486153,-0.9075007745824296,-0.9526215860961005,-0.9899812435740353,-0.9937092357390653,-0.9726006761474082,-0.9652636449007356,-0.9399708931106201,-0.6263326990399738,-0.625651446157786,-0.6288202988524088,0.7532995848758355,-0.14465686290130897
4.9,USER_13,NewMedia15,-0.9966596389553523,-0.9848098380766279,-0.9865158642163402,-0.9824253931162066,-0.9858029294186822,-0.9981008331012129,-0.9979141982264891,-0.9919296873493959,-0.9897623173146077,-0.6236021428886054,-0.5642838718032925,-0.7367773906557422,0.8577140962822494,-0.10594814320690182
5.9,USER_13,NewMedia15,-0.9610389861052047,-0.974942265988718,-0.9511641781872466,-0.9737597974782143,-0.9966757437694832,-0.9948378834960587,-0.9926011975978516,-0.972082308651937,-0.9485493668961047,-0.6236032686448164,-0.4813414942374914,-0.7512131667842338,0.8638447986300968,-0.09235822348983824
6.9,USER_13,NewMedia15,-0.9950595854272246,-0.9653193721489118,-0.960582076290608,-0.9810281875273843,-0.9715007440158461,-0.9962052836631855,-0.9970914653047154,-0.9678578214975173,-0.9725952649391324,-0.6039480613307127,-0.4139589346960614,-0.7690488390756276,0.6044172086814781,-0.17109512507413482
7.9,USER_13,NewMedia15,-0.7417769665635778,-0.9499649741411961,-0.9572020802339367,-0.9394333284650211,-0.953756048208285,-0.9851177664350286,-0.981604387136397,-0.8277612696594248,-0.7110571570688287,-0.6371795209539358,-0.6872019793671487,-0.7667027599268996,0.7881101752002562,-0.12167486506399017
8.9,USER_13,NewMedia15,-0.9495124243802607,-0.9846556572627543,-0.956054930057127,-0.9623825519692323,-0.9664946506410361,-0.9910757243060806,-0.9978041142439983,-0.9633331589194787,-0.93466031310242,-0.6755785028877933,-0.6977882676464596,-0.8597825384043662,0.7853187518250346,-0.15663449917586192
10.0,USER_13,NewMedia15,-0.9476550240844406,-0.9879336754359798,-0.9849846235785452,-0.9760965873131785,-0.986880356339245,-0.9972543472834678,-0.9953069460096005,-0.9648643289702331,-0.9407479525771419,-0.6591594744532836,-0.6630776045615414,-0.7104058085677758,0.8110632449954873,-0.1794682622326106
10.9,USER_13,NewMedia15,-0.9878281412550673,-0.9691336714138716,-0.989988041983648,-0.9935494863930675,-0.9914659904279816,-0.9965344725923085,-0.9961992056571579,-0.9828307919398768,-0.9786894725367834,-0.6875715853983935,-0.6243122364322862,-0.6740347500901127,0.7556911885963906,-0.19143184398148028
11.9,USER_13,NewMedia15,-0.9575879659504491,-0.9988503474095948,-0.9943564308265883,-0.9974636093666326,-0.9987911795525394,-0.9987809157240167,-0.9998725343360633,-0.9955717240258757,-0.9661307162563316,-0.6839075016528228,-0.6528084746863057,-0.735681658657605,0.49178917218707996,-0.24716838201659797
13.0,USER_13,NewMedia15,-0.9996557986982114,-0.9913725779367255,-0.9913605252309023,-0.990623630787206,-0.9754622588518177,-0.9887099049693059,-0.9981691295543627,-0.9946037271322782,-0.9933298185454993,-0.6099677418250025,-0.6392052633148924,-0.6719443517409853,0.769671568048264,-0.1993211048360337
13.9,USER_13,NewMedia15,-0.9593006086894423,-0.987906861381393,-0.9768623906302413,-0.9877269850542817,-0.991748486510812,-0.9964006265442036,-0.9979779310584574,-0.9835220215850915,-0.9576290389850937,-0.6115170121173128,-0.6825433721559532,-0.8340144339865668,0.7008565810725831,-0.23118068523997048
14.9,USER_13,NewMedia15,-0.7976353692250582,-0.9881716501704368,-0.987903711082034,-0.9388247894454993,-0.9628747589749991,-0.9945629564783296,-0.9934297244134407,-0.9408021017787459,-0.8081774646186586,-0.5990579483498885,-0.92000475288434,-0.8921905742955039,0.5556563372340995,-0.2891471017162486
15.9,USER_13,NewMedia15,-0.9500888811398918,-0.9886174338279409,-0.9968043673646018,-0.9948347208022978,-0.9956114562016102,-0.9963282773290116,-0.9992989388483478,-0.9758524018164744,-0.9507951596975935,-0.6105600479636055,-0.7737712133578667,-0.7544359578789964,0.4934184743337613,-0.20341126666752096
16.9,USER_13,NewMedia15,-0.9830221903684112,-0.9786459572785076,-0.983776018927978,-0.9910325690083248,-0.9905922234741106,-0.9946823326833962,-0.9967322438881663,-0.9774634350533293,-0.9732263099805407,-0.5719834866412569,-0.7493449634527574,-0.6393434122995579,0.7106198691562882,-0.1836718266778714
17.9,USER_13,NewMedia15,-0.9866295486845398,-0.9773052545491719,-0.9884875285827318,-0.9871866024049462,-0.9882468490189831,-0.9963210424074925,-0.9852487463462257,-0.9414203529952826,-0.961744725860443,-0.6357584490219643,-0.6707931989987337,-0.6997429041900698,0.5396898503783529,-0.21566226869820482
18.9,USER_13,NewMedia15,-0.9551405981896942,-0.9458188509507258,-0.9748087869655061,-0.9875517258166594,-0.985060555991709,-0.9955975502555736,-0.998006900527534,-0.9660127065082988,-0.9407484578173673,-0.6739716692342292,-0.6772924818857744,-0.826696479100324,0.613734809225589,-0.2773245566213107
20.0,USER_13,NewMedia15,-0.9993231780009689,-0.9935813856833059,-0.9817121728509498,-0.9915340051604109,-0.9889892224459562,-0.9939009611593238,-0.996935030171702,-0.9941052706948923,-0.9940189662128178,-0.7239744989669986,-0.667083707262271,-0.7844258158275474,0.4798898160028373,-0.3089088588241927
