time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,FPOGD,RPD,LPD
4.9,USER_4,NewMedia19,-0.9557721988068332,-0.9165013068524525,-0.9611522317280272,-0.9895055532434043,-0.9610773487195252,-0.9512338598194064,-0.9495320855614974,-0.9792763736050527,-0.9584656544029162,0.4221621330263563,-0.1934777697354082,-0.8151414584598936,-0.43510670235013493,-0.20238835400431232
5.9,USER_4,NewMedia19,-0.9688511527837165,-0.599910836822644,-0.8488512928962799,-0.8166491215185122,-0.8778405731987041,-0.6840201182387717,-0.6264705882352941,-0.8922937509558342,-0.914608318735937,-0.010412427023021698,-0.35319026471458626,-0.7657833190062033,0.07926315363848913,0.2181812741003808
6.9,USER_4,NewMedia19,-0.7744227936934552,-0.8592270776331548,-0.49428690441859724,-0.544838054202267,-0.9353614415096124,-0.812023883055384,-0.6954545454545454,-0.8268290957066782,-0.7251412575096975,-0.4915579801167276,-0.1630174645774135,-0.876402807553567,0.48123480300483945,0.5048669061662603
7.9,USER_4,NewMedia19,-0.9985443093817659,-0.9851919193685149,-0.9123073472395783,-0.8926400143625399,-0.900872567334295,-0.901967704932498,-0.9056149732620321,-0.9469183905920808,-0.9852444600731238,-0.3935878094059758,-0.2974769272610621,-0.703242930895865,0.4950467220771846,0.545494882315257
8.9,USER_4,NewMedia19,-0.9667667080677893,-0.958338068305987,-0.8460828607132558,-0.9126822859287912,-0.8934592920144718,-0.706285478984676,-0.9566176470588236,-0.9091346932999163,-0.9423267826078954,-0.4204707209922601,-0.24465425251915562,-0.6707812171771705,0.5013916284261011,0.48675991343263125
9.9,USER_4,NewMedia19,-0.3620681557496658,-0.5473395281344791,0.4317408439873114,-0.2552533437788169,-0.6948970181371041,-0.6825788993793935,-0.6889705882352941,-0.29140217165526516,-0.17077779238930135,-0.1396154498858453,-0.2869010764887884,-0.7312856124314682,0.6238721443346622,0.7986990624975399
11.0,USER_4,NewMedia19,-0.9393762683335709,-0.44499418691049586,-0.8039283540004486,-0.8745889130984732,-0.9198373099387548,-0.8417600517662285,-0.3795454545454545,-0.9194177571736069,-0.8880373034618897,-0.16304020518278517,-0.2652206096840668,-0.8431271724599131,0.022089148072114373,0.18391213085859803
11.9,USER_4,NewMedia19,-0.5865865792492144,-0.6937856761978024,-0.3879073344227627,-0.7654988942476395,-0.5964080493745418,-0.5260448836730491,-0.7475935828877005,-0.3777388215905537,-0.4374276033315242,-0.16304020518278517,-0.2652206096840668,-0.8431271724599131,0.022089148072114373,0.18391213085859803
12.9,USER_4,NewMedia19,-0.9211081926713226,-0.8478718847522225,-0.9413374347143453,-0.7993651104528281,-0.945576863959895,-0.9420571193270391,-0.8955882352941177,-0.8290112508816501,-0.8842859360533533,-0.19485518692143866,-0.3120863746018978,-0.845241438587729,0.6316237057172718,0.6290046460588095
13.9,USER_4,NewMedia19,-0.9106778246085558,-0.9370000961563677,-0.9774552212502804,-0.9035098456843016,-0.9000212821301048,-0.8852907438454072,-0.9294786096256684,-0.7301523171703199,-0.8608424326394636,-0.08273783255684453,-0.5455147531979754,-0.5244309954665579,0.5336868957139851,0.7137023510040965
14.9,USER_4,NewMedia19,-0.9536508324340467,-0.9626825878301004,-0.9823640616488833,-0.8838919218873683,-0.9617512828395091,-0.9181740639430571,-0.9610294117647059,-0.9520884548926156,-0.9505967435030991,0.2293649955152739,-0.16749577400598192,-0.6046168106179592,0.44164114190129067,0.7907681298299811
15.9,USER_4,NewMedia19,-0.9384803751891896,-0.9576387492679004,-0.43581659136787465,-0.9074595441525694,-0.7636264749698503,-0.4671019735874584,-0.7719251336898396,-0.9071511233762232,-0.890378699207902,-0.229422063790245,-0.7086624205364701,-0.9114380092376715,0.19973374758344953,0.30300889487640337
16.9,USER_4,NewMedia19,-0.9383370322860886,-0.9273932008706522,-0.8933128264282739,-0.9052561999657258,-0.956726335453664,-0.8634959851760347,-0.9453208556149733,-0.9638323757872079,-0.9335211196657142,0.21275410006546247,-0.07598418669972717,-0.6456232910463673,0.33916788494791916,0.7788300021715266
17.9,USER_4,NewMedia19,-0.6911476255438139,-0.9387396522636083,-0.6786952481655932,-0.6033164410279008,-0.7360306462673509,-0.5994882202417718,-0.7547459893048128,-0.8319603559925952,-0.6538173251176207,-0.0913357470169095,-0.6122222115480898,-0.7930457480183706,0.5305916634453101,0.8618232109954962
18.9,USER_4,NewMedia19,-0.9742867808251718,-0.8722518947175188,-0.9462719087442725,-0.9797455545490897,-0.9652628343067937,-0.9449689696755788,-0.959692513368984,-0.9752270605502409,-0.9709606866867143,0.6290777573960404,-0.046855724043938785,-0.7799879096208906,0.29178044720298435,0.742773883309217
19.9,USER_4,NewMedia19,-0.9319284099932807,-0.9172705577943477,-0.8913134031849786,0.0295819358418814,-0.8047482796944831,-0.6014882790670314,-0.8973262032085562,-0.8664274513294941,-0.8678671042373983,0.52314315464723,-0.1533195430835893,-0.8785195819625853,0.26773797964117385,0.6561086092217914
20.9,USER_4,NewMedia19,-0.7819928192807064,-0.9237480003846255,-0.883495145631068,-0.7647644461853584,-0.8689966657996169,-0.9140562957734051,-0.9133021390374332,-0.8427775457145531,-0.7606288541425243,0.448377563142065,-0.2450609704064426,-0.8662477490158752,0.30137162049826105,0.5185911658917561
22.0,USER_4,NewMedia19,-0.9882209055307828,-0.9773158387020638,-0.8483001698228075,-0.964615924466097,-0.9597176570739436,-0.9512338598194064,-0.9318850267379679,-0.9571147160801554,-0.9808920020314054,0.9221009040107793,0.1308064020190698,-0.7605845239884601,0.4070943424587823,0.8354360894721753
22.9,USER_4,NewMedia19,-0.90122805231473,-0.92108184655192,-0.879022076964978,-0.8971609502125819,-0.9176618033058243,-0.9274978675843407,-0.9219251336898395,-0.813176930328533,-0.866602924904115,0.9221009040107793,0.1308064020190698,-0.7605845239884601,0.4070943424587823,0.8354360894721753
23.9,USER_4,NewMedia19,-0.9166200395007432,-0.9051810799234246,-0.9563587426703836,-0.8643556034306885,-0.9362836671474851,-0.9667931409747346,-0.9733957219251337,-0.9351151223810144,-0.9090594917466285,0.2953304193649824,-0.32907561623238824,-0.8740063243765863,0.20837942876049165,0.36168358521474686
24.9,USER_4,NewMedia19,-0.9680057554347458,-0.9815991678103447,-0.9734307411323657,-0.9820305040761867,-0.9836718768474071,-0.9786758434071591,-0.979879679144385,-0.9692512422991151,-0.9726980856401579,-0.49606492375831457,-0.19188896433850278,-0.8865373504514342,0.1614773034649395,0.11835166922869211
25.9,USER_4,NewMedia19,-0.4255250816145081,-0.11766916964605711,-0.8325483033740267,-0.8541386148309545,-0.7335122608716215,-0.553133915703403,-0.7881016042780749,-0.9216524118977674,-0.40303562878754307,-0.6133430190497395,-0.05745599374731547,-0.8825431385529912,-0.0348937558030431,-0.0024544495493469265
26.9,USER_4,NewMedia19,-0.922269053000224,-0.8496201823474392,-0.8044153929956103,-0.9274854946507699,-0.918631322566152,-0.915968116709315,-0.9269385026737968,-0.9155487686573126,-0.9011029117053077,-0.39095350532336637,-0.25031283369631685,-0.6175157654348908,-0.19499023013341643,-0.2752975714822059
27.9,USER_4,NewMedia19,-0.9378136135035531,-0.7422135195853038,-0.7162741516870134,-0.47134428476999535,-0.6007708860460167,-0.25412512132709786,-0.3656417112299465,-0.9673156067464204,-0.8751475178613767,-0.057309208179351145,-0.6972142983976932,-0.9295749497697171,0.40780314161573994,0.6867008697142458
29.0,USER_4,NewMedia19,-0.5762979251929224,-0.8194270828780474,-0.5787369028164953,-0.7605372895602288,-0.5410153940741091,-0.18859378217006384,-0.7550133689839572,-0.7329507714009846,-0.5098781568459065,0.4555793669099335,-0.29539867319986446,-0.5096649699446968,0.46436986135506,0.6937330694086428
29.9,USER_4,NewMedia19,-0.9884831578875926,-0.8564123185048559,-0.9498093498670256,-0.924074391428175,-0.9230769230769231,-0.9395864584252478,-0.9044786096256685,-0.9803172342324452,-0.9800918394802237,0.4555793669099335,-0.29539867319986446,-0.5096649699446968,0.46436986135506,0.6937330694086428
30.9,USER_4,NewMedia19,-0.8995416013411249,-0.9690463910766891,-0.9890416226088629,-0.9667866265168392,-0.9783986379436733,-0.9924997794052767,-0.972860962566845,-0.9755237971326116,-0.912357498290815,0.09096358085557443,-0.4371270404176315,-0.3233617889321111,0.21972886825743454,0.44244308052187153
31.9,USER_4,NewMedia19,-0.9816016126076599,-0.9251816044127031,-0.8704732609183248,-0.8592634301988722,-0.9062167466717113,-0.8892908614959264,-0.8554144385026738,-0.9477949048046218,-0.9640663079012903,0.1319786682559645,-0.3963578320279646,-0.651979792728659,0.33710742276389327,0.47891646361539975
32.9,USER_4,NewMedia19,-0.616094584597425,0.022850249569481784,-0.5826588484091128,-0.5142034094711159,-0.7868121733784199,-0.43039501161798877,-0.7737299465240641,-0.6742539928189747,-0.49327865878806854,0.17750573629189548,-0.3838913119163563,-0.7542012157645424,0.47774578904060006,0.7333154358615461
33.9,USER_4,NewMedia19,-0.7954974582425562,-0.9784085246990742,-0.9539491813258996,-0.968027027688692,-0.9171415734588191,-0.8976734609841466,-0.8564171122994653,-0.9763957461669622,-0.8140430949531878,-0.3213843425721582,-0.39114022099102785,-0.8962895953916965,0.29803831726870467,0.33725748328512806
34.9,USER_4,NewMedia19,-0.9763315890565295,-0.9470790317927917,-0.8952481655932584,-0.8438889840951191,-0.9098583556007472,-0.9047913173916879,-0.9107620320855615,-0.9428394038790319,-0.9608123781078045,-0.18988851652880878,-0.2911970461238115,-0.7053736415849972,0.2723923788624083,0.16432791367070032
36.0,USER_4,NewMedia19,-0.7082580986704131,-0.932935304247489,-0.3276298503636772,-0.7477742143445867,-0.8135685402823429,-0.649489690873261,-0.7053475935828877,-0.7670138484680403,-0.6496397209990117,-0.1111584151105297,-0.5554677717412759,-0.7078254519684826,0.7005202297591764,0.7818645970084235
36.9,USER_4,NewMedia19,-0.8419318713986114,-0.6708480117485598,-0.9635874267038355,-0.8893105164801984,-0.8894038638889545,-0.8391717403453043,-0.8016711229946524,-0.8910816961463048,-0.8158521791715072,-0.1111584151105297,-0.5554677717412759,-0.7078254519684826,0.7005202297591764,0.7818645970084235
37.9,USER_4,NewMedia19,-0.3721635140729881,-0.40281650742589403,-0.769412669422282,-0.8019275181367869,-0.8773558135685403,-0.8404953086855496,-0.8935160427807487,-0.9246129299541884,-0.3793150715121062,-0.2256010702538862,-0.36113792955172985,-0.8550636113305662,0.8281248134509795,0.8120089778713115
38.9,USER_4,NewMedia19,-0.4577728910878993,-0.9879542295689572,-0.8675638437630171,-0.7762871202291478,-0.904124003878077,-0.8572016824024236,-0.9187834224598931,-0.9453867733092292,-0.49701743283926203,0.04332364571228986,-0.631730114362853,-0.11429478002257254,0.7122428588694283,0.96788242117268
39.9,USER_4,NewMedia19,-0.9432937647194565,-0.9127949159505931,-0.9915280848473197,-0.9195860977142344,-0.9742131523564047,-0.9032618606429601,-0.9564171122994652,-0.9451265581523811,-0.9387531752818551,-0.3623647064582257,0.0794607623621193,-0.8419184092789986,0.7616715427475844,0.5506248005934833
40.9,USER_4,NewMedia19,-0.9978368252804757,-0.9638714301948478,-0.9306738440834375,-0.967651643123526,-0.9384237035635744,-0.9450572075649284,-0.9435160427807486,-0.9542751752457778,-0.9904358294578487,-0.27041661978212783,-0.5836045922181008,-0.8631168490041454,-0.3962392299524473,-0.012681815808412988
