time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,FPOGD,RPD,LPD
5.0,USER_52,NewMedia23,-0.9826479739437329,-0.9071112403476462,-0.9429778517475356,-0.9407955297879557,-0.9463559008509064,-0.9685776450943683,-0.97082774049217,-0.9496894801551024,-0.9721645933955998,-0.5330210491607361,-0.19900818908173934,-0.5037748419167791,0.5000679538018793,0.1805019584243166
6.0,USER_52,NewMedia23,-0.9653413236967777,-0.4344609221026784,-0.729330431442837,-0.9310519317625146,-0.9007584165741769,-0.8292263320346102,-0.8225801640566741,-0.798474196904259,-0.9109655129056682,-0.48861638469135193,-0.8590146770039484,-0.7500830003160376,-0.18480939277951625,-0.494704168161911
7.0,USER_52,NewMedia23,-0.9842609256770625,-0.8310393848340926,-0.9378056586864678,-0.9825261219941538,-0.9442594647922062,-0.9125132823963973,-0.9637285607755406,-0.8604079316541092,-0.9595017407094587,-0.026439052930626428,-0.8365014239281217,-0.7413458949680605,-0.28551045479302195,-0.44823893699640427
8.0,USER_52,NewMedia23,-0.9958523344534826,-0.9226519337016574,-0.8935091537575215,-0.9590338226665159,-0.9359045504994451,-0.9503111875727369,-0.9459507829977629,-0.9725544591910722,-0.9858105528631732,-0.8835265779747108,-0.7093567253717274,-0.69183062257495,-0.14349667297507052,-0.6238627326887862
9.0,USER_52,NewMedia23,-0.9808318863198794,-0.9789667539013279,-1.0,-0.996037962349876,-0.9998766802318412,-0.9980772149977231,-0.99779269202088,-0.986129062765991,-0.9835177000221405,0.011907545837786637,-0.8032883800882799,-0.6980393076928044,-0.11853949659196372,-0.14513883886221102
10.0,USER_52,NewMedia23,-0.8997590333475265,-0.7622047752899744,-0.8923313276149021,-0.8616409080387375,-0.8248550992724134,-0.920710418458736,-0.977330350484713,-0.8175404306295514,-0.8700850355476469,-0.47325991801222256,-0.7303781825575031,-0.7915542015773036,-0.04310671880246031,-0.18076917415502858
11.0,USER_52,NewMedia23,-0.945728421560263,-0.8189234596620465,-0.9491230316220715,-0.9780472968244484,-0.9546491552595882,-0.9431766432221829,-0.9890231170768083,-0.8596513350777087,-0.9266168644269326,-0.2532626872002566,-0.07010004474940601,-0.6972882667448417,-0.40774811598658856,-0.22382310266506877
12.0,USER_52,NewMedia23,-0.6503814997549179,-0.767099609059481,-0.9340801433875304,-0.6989928026571491,-0.8395918115673943,-0.8432930223144259,-0.9208351976137211,-0.7898899782478485,-0.6446018873099046,-0.43471451757747626,0.35668427756561205,-0.8164109959910995,-0.9062051564565369,-0.30976361211284964
13.0,USER_52,NewMedia23,-0.9966738476523032,-0.9005847953216375,-0.9488285750864166,-0.9251842401339341,-0.8466826982365273,-0.9049233415979355,-0.9464876957494407,-0.9617067557769301,-0.9831432265400564,-0.1276638931728038,-0.46203946269294727,-0.68290801724516,-0.10045818055616418,-0.007192444945588683
14.0,USER_52,NewMedia23,-0.9985432254708136,-0.9660592549513748,-0.9608628856740494,-0.9712106285966527,-0.968645948945616,-0.9530941658655062,-0.9690976882923191,-0.9874058194886668,-0.9951017775190175,0.10158436992009112,-0.6028845528684408,-0.6944675411236829,0.14310531401509663,0.05164016773214475
15.0,USER_52,NewMedia23,-0.959158078239503,-0.7407999741526929,-0.8743182691076686,-0.8719551256170497,-0.8308977679121963,-0.9484896017811061,-0.9885458612975392,-0.8086188959994955,-0.9196991274130077,-0.4689476380437213,-0.5686171159469993,-0.5362232898433261,0.24300087258511316,0.18927097236049217
16.0,USER_52,NewMedia23,-0.9750976503245162,-0.8936706406901231,-0.7704903341441557,-0.7902380990832405,-0.7889382167961524,-0.8280119415068563,-0.928351976137211,-0.904662526402068,-0.9423351838336791,-0.046729451906096564,-0.6051592921503568,-0.754805201761038,0.16310280787612297,0.1530309492680484
17.0,USER_52,NewMedia23,-0.9994386062661882,-0.9485800135698362,-0.9484445013442581,-0.9640079025424869,-0.8170859538784068,-0.9613925011384912,-0.9667710663683818,-0.9866681378266763,-0.9923460718096181,-0.11218208477362668,-0.4828460042825471,-0.7588431292316821,0.004123726882400591,-0.004339316590295295
18.0,USER_52,NewMedia23,-0.7799632033844022,-0.5173500048463701,-0.9605300217641787,-0.9137072506365638,-0.8465285485263288,-0.664727015129282,-0.8987024608501119,-0.7381450773935248,-0.7503173002193084,-0.2686702781962539,-0.4783597195576045,-0.7387093578882427,0.06014828559894081,0.0563186842732204
19.0,USER_52,NewMedia23,-0.9969139173411042,-0.9061419663338826,-0.9875816156702086,-0.9771429186651809,-0.9527068689110865,-0.938066083084552,-0.9667114093959731,-0.9910469405125942,-0.9933442121979953,0.1197744599574262,-0.1184129889004708,-0.8461705056492597,-0.4628306150939884,-0.2806315499146612
20.0,USER_52,NewMedia23,-0.9997499054230952,-0.9641530160576395,-0.9624247855588273,-0.9676900136195045,-0.9338081144407449,-0.965187471537722,-0.9882475764354959,-0.9868446770278364,-0.9956557431567477,1.0,-1.0,-1.0,-1.0,-0.6549486697288753
21.0,USER_52,NewMedia23,-0.9854992631707243,-0.9765274143000227,-0.9120727179618486,-0.968572858965456,-0.9167283265507461,-0.9131710772655973,-0.9741088739746457,-0.9179281863749567,-0.9711582528579797,0.3113920305659039,0.09389573200723422,-0.9699733077261115,-0.5790043003139143,-0.8421931393845421
22.0,USER_52,NewMedia23,-0.9959684121052107,-0.915705469936351,-0.8934067340929458,-0.985282322098588,-0.9282278949315576,-0.9680716490411375,-0.973214019388516,-0.9490495255508968,-0.9836798807516075,-0.624625574949392,-0.22562507325565118,-0.720075840586637,0.0436548823857954,0.024042953986150195
23.0,USER_52,NewMedia23,-0.9994159183615323,-0.9567703789861394,-0.9573678146204071,-0.9583447726404074,-0.824885929214453,-0.9577493295552295,-0.9596718866517524,-0.9943223731912613,-0.993769708830923,0.18579105794540274,-0.2920837543369964,-0.8305276843285123,-0.20820786676178993,-0.23230491052616575
