time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,FPOGD,RPD,LPD
2.9,USER_31,NewMedia12,-0.9202234286271356,-0.8675311528356914,-0.8761222016556431,-0.7040479078229229,-0.7106726648011052,-0.7790167590436522,-0.7448731317344456,-0.9004915211455059,-0.8444352747205702,0.2819361223318315,-0.3938432920390368,-0.8527118138553698,-0.18795217008257337,-0.2414582690358955
3.9,USER_31,NewMedia12,-0.8834791072603642,-0.9823471281544506,-0.3433982285945122,-0.7741964827167981,-0.400995359710956,-0.8404775179561181,0.2183987950411308,-0.6520489226462287,-0.6692625299539983,-0.21503080021843723,-0.20158197469407024,-0.6949675942630413,0.11139179439941782,0.058091506889380806
4.9,USER_31,NewMedia12,-0.7381888084618946,-0.8940249222685531,-0.7623977281634179,-0.6479684657368101,-0.7743438064538982,-0.8137811157390705,-0.7419186652763294,-0.8347516005415452,-0.6425421784313945,-0.20662689203287776,-0.15986968817975222,-0.8897491461405633,0.1056906489709375,0.11664545572866358
5.9,USER_31,NewMedia12,-0.22523975774414462,-0.5880739473113356,-0.7220858932695032,-0.8832171012734991,-0.7849350005313308,-0.6499622839526418,-0.4629822732012513,-0.8940682438789325,-0.1605023457744581,0.5800837181487861,-0.12055885650951403,-0.8090255215645968,0.3816367167174479,0.38275647374533617
6.9,USER_31,NewMedia12,-0.6568631035071044,-0.232664079635566,-0.6228558336398222,0.16466040024257134,-0.3999326980978357,-0.7125381260043948,-0.7750550341791218,-0.5027843686179123,-0.3223318232069242,0.054632990251945346,-0.16587766816902905,-0.864472293113085,0.656131040083928,0.5740040580609955
8.9,USER_31,NewMedia12,-0.596526102215398,-0.7502374123261587,-0.9923307427482712,-0.8142813826561552,-0.7451914562006305,-0.6009970155127742,-0.7050167999073109,-0.6805176805342023,-0.45283250332142666,-0.7846014877645314,0.14474521708364674,0.14863262619429318,0.5236535636168991,0.619823777904823
9.9,USER_31,NewMedia12,-0.877594836830689,-0.7707536937501507,-0.7962943981863895,-0.6795330503335355,-0.6841946796075237,-0.8034501984192057,-0.8411539798401112,-0.9322958305605911,-0.8041363768981958,0.1851536546663981,-0.3945759762903166,-0.5817060985100528,0.4697232553981605,0.5352975072326103
10.9,USER_31,NewMedia16,-0.8189570081158148,-0.7366530887705175,-0.8575881632972983,-0.919602789569436,-0.7903014416775884,-0.8379849791741826,-0.9633298574904414,-0.8426379678285413,-0.7326914366730835,-0.09838625666303924,0.29424663124376016,-0.8657796481046747,0.4504636650932945,0.5076961181555715
11.9,USER_31,NewMedia16,-0.9090428578391947,-0.9501265395647039,-0.9645115973398771,-0.9220891449363251,-0.9763557791080727,-0.8637630776294645,-0.9743366933147956,-0.9786961609949747,-0.9018131230260761,-0.13871819290708687,-0.02895157926675762,-0.901447253311648,0.45071026597832264,0.36079623881930134
12.9,USER_31,NewMedia16,-0.6712493297750481,0.11343247607799656,-0.8866855182476471,-0.6060794420861129,-0.6115617583507491,-0.6142796234954577,-0.44890510948905105,-0.6958167924917965,-0.44046272968929145,-0.15991211749525003,-0.5782085366193834,-0.7311325805589424,0.4283362010494913,0.4374860942112573
