time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,FPOGD,RPD,LPD
4.0,USER_36,NewMedia23,-0.8654290303971973,-0.8280227251501053,-0.825750658890414,-0.6056126053259345,-0.7632177076724145,-0.7693534086564663,-0.7583007642617742,-0.8497399518505452,-0.8276922046438073,-0.3917708784476309,-0.5130190982970075,-0.8468460302865723,0.2145913612053445,0.43060642355682544
5.0,USER_36,NewMedia23,-0.9318715814206131,-0.9776832567438577,-0.9598599612015511,-0.7513949607363345,-0.5996016416220253,-0.8008004099660802,-0.8753986570331799,-0.9894450659486653,-0.9293924870961862,-0.4377747504500302,-0.9359515704718054,-0.7856757597919176,-0.093468877582221,0.22520931460495697
6.0,USER_36,NewMedia23,-0.6721332356445983,-0.9664283238064785,-0.8076806022248033,-0.7910988707216938,-0.7121298519809495,-0.867273481539325,-0.8678256230647013,-0.9770881339616282,-0.7871215492772325,0.09467212876641473,-1.0,-0.890600968206253,-0.09655016666399008,0.18163357473094233
7.0,USER_36,NewMedia23,-0.9216042637764276,-0.9855316333266321,-0.9977308911428151,-0.9637668547090803,-0.8872870670061279,-0.9345355751319782,-0.8461038885731847,-0.9815708333387979,-0.9439841128535232,0.46580689723427904,-0.958102499408575,-0.8257112055459336,-0.15159711374308205,0.22127537806551723
8.0,USER_36,NewMedia23,-0.36428371419307837,-0.8270919374472672,-0.9277818839814579,-0.07819970718622338,-0.4059561002642337,0.08708525504933418,-0.6618344602038805,-0.7678893760374494,-0.49251147909502513,0.2314091737270474,-0.8217884046312438,-0.9024615453077882,-0.0671562061355242,0.18923288716140085
9.0,USER_36,NewMedia23,0.052945610112468344,-0.9312578456063813,-0.8807227194524325,-0.6848258986618615,-0.4489402542747227,-0.4795789713430456,-0.8236515244644949,-0.8551852905907467,-0.3500807113764717,-0.7354389462575641,-0.7646566172426978,-0.821063205566063,0.06464871017128049,0.2757995472096362
10.0,USER_36,NewMedia23,-0.981795998972584,-0.9777085843003975,-0.9807125747139287,-0.9784587347578143,-0.7193581290006505,-0.9337384188649471,-0.9781738898488872,-0.9779991877457146,-0.9699895538771752,-0.17288490311920435,-0.9277135437627257,-0.8979504007208373,0.08451468892203806,0.4189122742490068
11.0,USER_36,NewMedia23,-0.9960382375604765,-0.9986639713925249,-0.9906378556093157,-0.9609820523583795,-0.9333713487161777,-0.9391314250388411,-0.970183353242024,-0.9954797043534294,-0.9920395452390091,0.2236783472546009,-0.9067157304562105,-0.8989606064781006,-0.03130836777028523,0.3063306051589272
12.0,USER_36,NewMedia23,-0.4557695303782491,-0.9267495405422946,-0.9836897449115855,-0.8782775178401401,-0.4969842021990025,-0.7164482621179954,-0.8454080508425436,-0.8029360937738392,-0.6185707095508167,0.5996015236419971,-0.8418704685256999,-0.8752926416158067,-0.11730681069534432,0.21649976796398818
13.0,USER_36,NewMedia23,-0.996182454766326,-0.9780188468680102,-0.9964679747168272,-0.9813356813039428,-0.9104898362393684,-0.9577100466092389,-0.9684669535064423,-0.9965245309100352,-0.9913945077055302,0.8824659762183045,-0.7398321622270764,-0.6271519522283989,-0.2040828251305905,0.13421964842060374
14.0,USER_36,NewMedia23,-0.9218837504052819,-0.9981384245943238,-0.9813461032817193,-0.9756022646995587,-0.9613447807824208,-0.9653318366317707,-0.9374441880153548,-0.9835756762628959,-0.9507606827704593,-0.3454671368879534,-0.7391320619891414,-0.7668605685332537,-0.016217281295586528,0.1693575039905144
15.0,USER_36,NewMedia23,-0.9961166622454093,-0.994320295445947,-0.988749692034724,-0.956927707759565,-0.9354836118897125,-0.9111089419784117,-0.969626683057511,-0.9971356888707611,-0.9911107892125437,-0.46667072347558447,-0.7490768883416898,-0.8928603277626845,0.03168433848298058,0.3472694030017789
16.0,USER_36,NewMedia23,-0.9534610024043219,-0.9938042464814484,-0.9697852420969382,-0.9500373695903679,-0.9742593023909534,-0.9233103134125609,-0.9721664907743515,-0.9843389679649183,-0.965367284072052,-0.18816790177254406,-0.8245983090276374,-0.8707666735923539,0.007396026738419437,0.3555402402333412
17.0,USER_36,NewMedia23,-0.9532383605135396,-0.9948331784658783,-0.9944555898544334,-0.9836802391653784,-0.9419408726939789,-0.9591254056956002,-0.9824532918923307,-0.9703767627076484,-0.9638542095369984,0.3319185116338148,-0.8198350696188353,-0.821355490197707,-0.08037643007816653,0.30665106551100907
18.0,USER_36,NewMedia23,-0.9957545402102834,-0.9950357989181967,-0.973379378024012,-0.9803425716421119,-0.9273477845330935,-0.9866110284129269,-0.9766082549549445,-0.9917235747407278,-0.9913269816150689,0.6504503750449764,-0.6819726129142862,-0.8872559902544583,-0.10145901834144744,0.23025842255120565
19.0,USER_36,NewMedia23,-0.9900984887721116,-0.9872127498919622,-0.9860085422838912,-0.922476016913579,-0.9771184875231907,-0.9181125291816133,-0.9766662414324979,-0.9982181116967678,-0.9884380629868669,-0.732640012644818,-0.43582233650652835,-0.8437605519510605,0.13270091307318177,0.17070233893443376
20.0,USER_36,NewMedia23,-0.9885810500696874,-0.9695626089282803,-0.9957640540859487,-0.9775065780717291,-0.9473379862020224,-0.9306148677778049,-0.9656372134018347,-0.9908693525266661,-0.9851015117267361,0.021603650893558868,0.5907783544256495,-0.9205805297469463,0.04958904261689967,0.21959639658563135
21.0,USER_36,NewMedia23,-0.9958571765429136,-0.9952605809824876,-0.9926253962141492,-0.9831478504806855,-0.9382464199950206,-0.9617934389158674,-0.9737205283727834,-0.9930385698379119,-0.9926200517908776,0.3429114436173064,-0.2191031299099062,-0.8151935555822182,0.3236873643644951,0.4337666312813082
22.0,USER_36,NewMedia23,-0.9602760548909633,-0.997229798503458,-0.9809403137415659,-0.9349973892477962,-0.9691352571258764,-0.955204698341427,-0.9696614749440431,-0.9926696017986755,-0.9729503551178038,0.6729662167821673,-0.2972578607232491,-0.7863497187578796,0.31474730123161554,0.454147122855739
23.0,USER_36,NewMedia23,-0.9419894184572759,-0.9800197238346554,-0.7649816048976313,-0.5010391817595445,-0.7694019002337142,-0.8939375452467524,-0.9348116019344289,-0.9349733175778735,-0.9086603436288385,0.13425116800976267,-0.0021352656955874183,-0.9098206707957885,0.32568988245022545,0.39010612795976196
24.0,USER_36,NewMedia23,-0.9963435148575303,-0.9963338361908621,-0.9897641658851077,-0.9909493923602224,-0.955345310856069,-0.9838291157259409,-0.9831723242139933,-0.9959238649314677,-0.9954210231319064,0.46280455459923386,0.16729188783865112,-0.8926747388854956,0.08673082687497069,0.31382533515268607
25.0,USER_36,NewMedia23,-0.7710662388573787,-0.9840373074907831,-0.9185273980402021,-0.9323661605561414,-0.7970942326380801,-0.8687620488542912,-0.9247915386131954,-0.9590087000390389,-0.8494987753408332,-0.5561469422316142,0.2641798425283255,-0.882100031702147,0.27879272871852434,0.28066394272373274
26.0,USER_36,NewMedia23,-0.9950508234065578,-0.9795606618723712,-0.9940622224430601,-0.9673707165746931,-0.9873987037289877,-0.9276377331478725,-0.9913484175490276,-0.9976349323551309,-0.9928958740878021,-0.6474112856264609,0.34578906329997605,-0.9115547674804139,0.35462135976451203,0.3744612065739994
27.0,USER_36,NewMedia23,-0.9201189318242108,-0.9489491438494403,-0.9440714355219054,-0.6060938027909453,-0.8245857795696766,-0.924904625946623,-0.9054008605193269,-0.9271025822953921,-0.9090104990817949,0.1781925104419415,0.3038156589527359,-0.9044913218364158,0.2200125233286121,0.39251534730741877
28.0,USER_36,NewMedia23,-0.9933217959568653,-0.9881751970404751,-0.9862652662786822,-0.9287930134223378,-0.9800579868445358,-0.9751580077600722,-0.9928328713743955,-0.9977713281231898,-0.992622774617106,0.5083013626197166,0.4734302764390268,-0.9437829737341437,0.14064583071925907,0.2545845127076889
29.0,USER_36,NewMedia23,-0.9965877366951732,-0.9943836143372966,-0.9917351436515676,-0.9792982707605992,-0.9575860767321762,-0.9899948754239977,-0.9858397021814513,-0.9965525095291242,-0.9957401383658604,-0.1910219886154686,0.610145779553426,-0.8967999716171295,0.040644862546339366,0.008369126016312345
30.0,USER_36,NewMedia23,-0.9343274846413939,-0.9860603460694006,-0.9928779794993468,-0.9280763363467898,-0.9826039466392528,-0.9796155754573481,-0.9696962668305751,-0.9910966788067643,-0.9599518549866316,0.39171061136071206,0.24636004965818925,-0.8738180673658114,0.15751499922877188,0.32589191489876046
31.0,USER_36,NewMedia23,-0.9997278821334883,-0.9874628595127928,-0.9913997461745019,-0.9448875328903587,-0.9808530973167029,-0.9860904365650699,-0.9876024910990757,-0.9887604641128308,-0.99410508121578,0.4349287332284528,-0.6477100723800582,-0.8887765098948991,0.178744618695295,0.40234160772521355
32.0,USER_36,NewMedia23,-0.9698891317071527,-0.9679859685336769,-0.9966211809717831,-0.8961432535091581,-0.9765482567805254,-0.9856755899363089,-0.9819430108898605,-0.9579629991505866,-0.966157448243498,0.09539458799376033,-0.5492203182547957,-0.9036607582894082,0.1691696997564791,0.3369821452613442
