MEDIA_NAME,N_COGNITIVE_EFFORT,N_NOT_COGNITIVE_EFFORT
NewMedia1,28,17
NewMedia2,27,18
NewMedia3,28,17
NewMedia4,20,25
NewMedia5,26,19
NewMedia6,23,22
NewMedia7,20,25
NewMedia8,31,14
NewMedia9,25,20
NewMedia10,12,33
NewMedia11,21,24
NewMedia12,19,26
NewMedia13,18,27
NewMedia14,25,20
NewMedia15,28,17
NewMedia16,18,27
NewMedia17,19,26
NewMedia18,27,18
NewMedia19,22,23
NewMedia20,24,21
NewMedia21,24,21
NewMedia22,23,22
NewMedia23,26,19
NewMedia24,19,26
