MEDIA_NAME,N_COGNITIVE_EFFORT,N_NOT_COGNITIVE_EFFORT
NewMedia1,31,14
NewMedia2,31,14
NewMedia3,32,13
NewMedia4,24,21
NewMedia5,29,16
NewMedia6,28,17
NewMedia7,25,20
NewMedia8,34,11
NewMedia9,30,15
NewMedia10,12,33
NewMedia11,25,20
NewMedia12,25,20
NewMedia13,23,22
NewMedia14,30,15
NewMedia15,32,13
NewMedia16,24,21
NewMedia17,24,21
NewMedia18,31,14
NewMedia19,27,18
NewMedia20,29,16
NewMedia21,28,17
NewMedia22,27,18
NewMedia23,29,16
NewMedia24,24,21
