SPECIFIC_CATEGORY,N_COGNITIVE_EFFORT,N_NOT_COGNITIVE_EFFORT
Critical Thinking,86,49
Deductive Reasoning,59,76
Diagrammatic Reasoning,65,70
Inductive Reasoning,72,63
Logical Reasoning,62,73
Mechanical Reasoning,50,85
Spatial Reasoning,59,76
Verbal Reasoning,52,83
