SPECIFIC_CATEGORY,N_COGNITIVE_EFFORT,N_NOT_COGNITIVE_EFFORT
Critical Thinking,103,38
Deductive Reasoning,86,55
Diagrammatic Reasoning,90,51
Inductive Reasoning,90,51
Logical Reasoning,88,53
Mechanical Reasoning,79,62
Spatial Reasoning,91,50
Verbal Reasoning,85,56
