MEDIA_NAME,N_COGNITIVE_EFFORT,N_NOT_COGNITIVE_EFFORT
NewMedia1,29,16
NewMedia2,28,17
NewMedia3,28,17
NewMedia4,21,24
NewMedia5,24,21
NewMedia6,25,20
NewMedia7,22,23
NewMedia8,32,13
NewMedia9,26,19
NewMedia10,12,33
NewMedia11,23,22
NewMedia12,21,24
NewMedia13,20,25
NewMedia14,27,18
NewMedia15,29,16
NewMedia16,20,25
NewMedia17,20,25
NewMedia18,28,17
NewMedia19,23,22
NewMedia20,25,20
NewMedia21,25,20
NewMedia22,24,21
NewMedia23,27,18
NewMedia24,20,25
