MEDIA_NAME,N_COGNITIVE_EFFORT,N_NOT_COGNITIVE_EFFORT
NewMedia1,27,18
NewMedia2,26,19
NewMedia3,28,17
NewMedia4,18,27
NewMedia5,24,21
NewMedia6,21,24
NewMedia7,19,26
NewMedia8,30,15
NewMedia9,23,22
NewMedia10,12,33
NewMedia11,19,26
NewMedia12,17,28
NewMedia13,16,29
NewMedia14,24,21
NewMedia15,27,18
NewMedia16,16,29
NewMedia17,17,28
NewMedia18,26,19
NewMedia19,21,24
NewMedia20,22,23
NewMedia21,22,23
NewMedia22,21,24
NewMedia23,25,20
NewMedia24,17,28
