SPECIFIC_CATEGORY,N_COGNITIVE_EFFORT,N_NOT_COGNITIVE_EFFORT
Critical Thinking,99,36
Deductive Reasoning,83,52
Diagrammatic Reasoning,86,49
Inductive Reasoning,87,48
Logical Reasoning,84,51
Mechanical Reasoning,76,59
Spatial Reasoning,86,49
Verbal Reasoning,78,57
