SPECIFIC_CATEGORY,N_COGNITIVE_EFFORT,N_NOT_COGNITIVE_EFFORT
Critical Thinking,92,43
Deductive Reasoning,69,66
Diagrammatic Reasoning,74,61
Inductive Reasoning,77,58
Logical Reasoning,72,63
Mechanical Reasoning,61,74
Spatial Reasoning,70,65
Verbal Reasoning,63,72
